V1,V2
2007-03-28 09:34:00,463.6
2007-03-28 09:35:00,463.96
2007-03-28 09:36:00,463.69
2007-03-28 09:37:00,463.41
2007-03-28 09:38:00,462.96
2007-03-28 09:39:00,463.23
2007-03-28 09:40:00,463.41
2007-03-28 09:41:00,463.23
2007-03-28 09:42:00,463.14
2007-03-28 09:43:00,463.41
2007-03-28 09:44:00,463.6
2007-03-28 09:45:00,463.78
2007-03-28 09:46:00,463.96
2007-03-28 09:47:00,464.01
2007-03-28 09:48:00,464.05
2007-03-28 09:49:00,464.05
2007-03-28 09:50:00,464.33
2007-03-28 09:51:00,464.42
2007-03-28 09:52:00,464.78
2007-03-28 09:53:00,464.69
2007-03-28 09:54:00,464.69
2007-03-28 09:55:00,465.42
2007-03-28 09:56:00,465.53
2007-03-28 09:57:00,464.87
2007-03-28 09:58:00,464.87
2007-03-28 09:59:00,465.05
2007-03-28 10:00:00,464.87
2007-03-28 10:01:00,465.33
2007-03-28 10:02:00,465.33
2007-03-28 10:03:00,465.05
2007-03-28 10:04:00,465.51
2007-03-28 10:05:00,465.96
2007-03-28 10:06:00,466.33
2007-03-28 10:07:00,466.33
2007-03-28 10:08:00,466.05
2007-03-28 10:09:00,465.87
2007-03-28 10:10:00,465.96
2007-03-28 10:11:00,465.76
2007-03-28 10:12:00,465.78
2007-03-28 10:13:00,465.51
2007-03-28 10:14:00,464.69
2007-03-28 10:15:00,464.69
2007-03-28 10:16:00,465.14
2007-03-28 10:17:00,465.51
2007-03-28 10:18:00,465.24
2007-03-28 10:19:00,464.87
2007-03-28 10:20:00,465.05
2007-03-28 10:21:00,465.6
2007-03-28 10:22:00,465.69
2007-03-28 10:23:00,465.6
2007-03-28 10:24:00,465.69
2007-03-28 10:25:00,465.78
2007-03-28 10:26:00,465.69
2007-03-28 10:27:00,465.6
2007-03-28 10:28:00,465.87
2007-03-28 10:29:00,465.87
2007-03-28 10:30:00,465.78
2007-03-28 10:31:00,465.24
2007-03-28 10:32:00,465.51
2007-03-28 10:33:00,464.87
2007-03-28 10:34:00,464.51
2007-03-28 10:35:00,463.51
2007-03-28 10:36:00,463.89
2007-03-28 10:37:00,464.33
2007-03-28 10:38:00,464.33
2007-03-28 10:39:00,465.24
2007-03-28 10:40:00,465.35
2007-03-28 10:41:00,464.87
2007-03-28 10:42:00,464.59
2007-03-28 10:43:00,464.14
2007-03-28 10:44:00,463.78
2007-03-28 10:45:00,463.41
2007-03-28 10:46:00,462.87
2007-03-28 10:47:00,462.78
2007-03-28 10:48:00,463.14
2007-03-28 10:49:00,463.05
2007-03-28 10:50:00,463.78
2007-03-28 10:51:00,464.33
2007-03-28 10:52:00,464.34
2007-03-28 10:53:00,464.05
2007-03-28 10:54:00,463.78
2007-03-28 10:55:00,464.05
2007-03-28 10:56:00,464.33
2007-03-28 10:57:00,465.14
2007-03-28 10:58:00,465.14
2007-03-28 10:59:00,465.78
2007-03-28 11:00:00,465.51
2007-03-28 11:01:00,465.05
2007-03-28 11:02:00,464.87
2007-03-28 11:03:00,464.69
2007-03-28 11:04:00,464.87
2007-03-28 11:05:00,464.96
2007-03-28 11:06:00,464.87
2007-03-28 11:07:00,465.87
2007-03-28 11:08:00,466.05
2007-03-28 11:09:00,465.96
2007-03-28 11:10:00,465.87
2007-03-28 11:11:00,466.05
2007-03-28 11:12:00,466.24
2007-03-28 11:13:00,466.42
2007-03-28 11:14:00,466.05
2007-03-28 11:15:00,466.05
2007-03-28 11:16:00,466.51
2007-03-28 11:17:00,467.15
2007-03-28 11:18:00,467.06
2007-03-28 11:19:00,467.06
2007-03-28 11:20:00,467.06
2007-03-28 11:21:00,466.87
2007-03-28 11:22:00,466.42
2007-03-28 11:23:00,466.24
2007-03-28 11:24:00,466.33
2007-03-28 11:25:00,466.51
2007-03-28 11:26:00,466.51
2007-03-28 11:27:00,466.15
2007-03-28 11:28:00,465.6
2007-03-28 11:29:00,465.69
2007-03-28 11:30:00,466.33
2007-03-28 11:31:00,466.33
2007-03-28 11:32:00,466.05
2007-03-28 11:33:00,466.15
2007-03-28 11:34:00,465.87
2007-03-28 11:35:00,466.05
2007-03-28 11:36:00,465.96
2007-03-28 11:37:00,465.78
2007-03-28 11:38:00,466.33
2007-03-28 11:39:00,466.15
2007-03-28 11:40:00,465.69
2007-03-28 11:41:00,465.78
2007-03-28 11:42:00,465.87
2007-03-28 11:43:00,465.8
2007-03-28 11:44:00,465.87
2007-03-28 11:45:00,465.78
2007-03-28 11:46:00,465.87
2007-03-28 11:47:00,466.05
2007-03-28 11:48:00,465.96
2007-03-28 11:49:00,465.96
2007-03-28 11:50:00,465.96
2007-03-28 11:51:00,465.78
2007-03-28 11:52:00,465.69
2007-03-28 11:53:00,465.69
2007-03-28 11:54:00,465.87
2007-03-28 11:55:00,465.69
2007-03-28 11:56:00,465.51
2007-03-28 11:57:00,465.69
2007-03-28 11:58:00,465.69
2007-03-28 11:59:00,465.87
2007-03-28 12:00:00,465.69
2007-03-28 12:01:00,465.96
2007-03-28 12:02:00,465.78
2007-03-28 12:03:00,465.96
2007-03-28 12:04:00,466.78
2007-03-28 12:05:00,467.15
2007-03-28 12:06:00,467.69
2007-03-28 12:07:00,467.6
2007-03-28 12:08:00,467.88
2007-03-28 12:09:00,468.15
2007-03-28 12:10:00,467.88
2007-03-28 12:11:00,468.6
2007-03-28 12:12:00,467.69
2007-03-28 12:13:00,467.78
2007-03-28 12:14:00,467.97
2007-03-28 12:15:00,468.24
2007-03-28 12:16:00,468.69
2007-03-28 12:17:00,468.1
2007-03-28 12:18:00,468.06
2007-03-28 12:19:00,468.6
2007-03-28 12:20:00,469.88
2007-03-28 12:21:00,469.51
2007-03-28 12:22:00,469.06
2007-03-28 12:23:00,468.97
2007-03-28 12:24:00,469.24
2007-03-28 12:25:00,469.15
2007-03-28 12:26:00,469.33
2007-03-28 12:27:00,469.51
2007-03-28 12:28:00,469.51
2007-03-28 12:29:00,468.88
2007-03-28 12:30:00,468.15
2007-03-28 12:31:00,468.06
2007-03-28 12:32:00,467.88
2007-03-28 12:33:00,467.97
2007-03-28 12:34:00,468.06
2007-03-28 12:35:00,467.78
2007-03-28 12:36:00,467.81
2007-03-28 12:37:00,467.78
2007-03-28 12:38:00,467.69
2007-03-28 12:39:00,467.88
2007-03-28 12:40:00,467.97
